,precision,recall,f1-score,support
1,0.9668100799016595,0.9516031457955233,0.9591463414634146,1653.0
2,0.9481351981351981,0.9638625592417062,0.9559341950646298,1688.0
3,0.9728424864212432,0.97166968053044,0.9722557297949337,1659.0
accuracy,0.9624,0.9624,0.9624,0.9624
macro avg,0.9625959214860336,0.9623784618558898,0.9624454221076594,5000.0
weighted avg,0.9625069923005,0.9624,0.962411615887583,5000.0
