Model,Accuracy,Weighted F1,Macro F1,Precision,Recall
XGBoost (Initial),0.9598,0.9598180833397911,0.9598533403433686,0.9599554865647416,0.9598
Tuned Model,0.9624,0.962411615887583,0.9624454221076594,0.9625069923005,0.9624
