Model,CV_Mean,CV_Std,Test_Accuracy,Test_F1
XGBoost,0.959356769165689,0.0005083324082990656,0.9598,0.9598180833397911
LightGBM,0.9564659195860458,0.0012918602935261688,0.9558,0.955823547623246
Random Forest,0.949485043830709,0.0027204415584732326,0.952,0.9520079051684265
CatBoost,0.9415257130739174,0.004039876135637474,0.9348,0.9348071105119831
Gradient Boosting,0.8527543879520165,0.0047175236078818425,0.8426,0.8428599734449496
